"from","to","gender","age","mrate"
"AL","OR","m","0","0.000201639"
"AL","OR","m","1","0.000201639"
"AL","OR","m","2","0.000201639"
"AL","OR","m","3","0.000201639"
"AL","OR","m","4","0.000201639"
"AL","OR","m","5","0.000134426"
"AL","OR","m","6","0.000134426"
"AL","OR","m","7","0.000134426"
"AL","OR","m","8","0.000134426"
"AL","OR","m","9","0.000134426"
"AL","OR","m","10","0.000164845"
"AL","OR","m","11","0.000164845"
"AL","OR","m","12","0.000164845"
"AL","OR","m","13","0.000164845"
"AL","OR","m","14","0.000164845"
"AL","OR","m","15","0.000147565"
"AL","OR","m","16","0.000147565"
"AL","OR","m","17","0.000147565"
"AL","OR","m","18","0.000147565"
"AL","OR","m","19","0.000147565"
"AL","OR","m","20","0.000147565"
"AL","OR","m","21","0.000147565"
"AL","OR","m","22","0.000147565"
"AL","OR","m","23","0.000147565"
"AL","OR","m","24","0.000147565"
"AL","OR","m","25","0.000130402"
"AL","OR","m","26","0.000130402"
"AL","OR","m","27","0.000130402"
"AL","OR","m","28","0.000130402"
"AL","OR","m","29","0.000130402"
"AL","OR","m","30","0.000103536"
"AL","OR","m","31","0.000103536"
"AL","OR","m","32","0.000103536"
"AL","OR","m","33","0.000103536"
"AL","OR","m","34","0.000103536"
"AL","OR","m","35","0.000181128"
"AL","OR","m","36","0.000181128"
"AL","OR","m","37","0.000181128"
"AL","OR","m","38","0.000181128"
"AL","OR","m","39","0.000181128"
"AL","OR","m","40","0.00012955"
"AL","OR","m","41","0.00012955"
"AL","OR","m","42","0.00012955"
"AL","OR","m","43","0.00012955"
"AL","OR","m","44","0.00012955"
"AL","OR","m","45","9.46552e-05"
"AL","OR","m","46","9.46552e-05"
"AL","OR","m","47","9.46552e-05"
"AL","OR","m","48","9.46552e-05"
"AL","OR","m","49","9.46552e-05"
"AL","OR","m","50","8.22344e-05"
"AL","OR","m","51","8.22344e-05"
"AL","OR","m","52","8.22344e-05"
"AL","OR","m","53","8.22344e-05"
"AL","OR","m","54","8.22344e-05"
"AL","OR","m","55","0.000110125"
"AL","OR","m","56","0.000110125"
"AL","OR","m","57","0.000110125"
"AL","OR","m","58","0.000110125"
"AL","OR","m","59","0.000110125"
"AL","OR","m","60","9.30614e-05"
"AL","OR","m","61","9.30614e-05"
"AL","OR","m","62","9.30614e-05"
"AL","OR","m","63","9.30614e-05"
"AL","OR","m","64","9.30614e-05"
"AL","OR","m","65","7.91054e-05"
"AL","OR","m","66","7.91054e-05"
"AL","OR","m","67","7.91054e-05"
"AL","OR","m","68","7.91054e-05"
"AL","OR","m","69","7.91054e-05"
"AL","OR","m","70","5.12152e-05"
"AL","OR","m","71","5.12152e-05"
"AL","OR","m","72","5.12152e-05"
"AL","OR","m","73","5.12152e-05"
"AL","OR","m","74","5.12152e-05"
"AL","OR","m","75","5.12152e-05"
"AL","OR","m","76","5.12152e-05"
"AL","OR","m","77","5.12152e-05"
"AL","OR","m","78","5.12152e-05"
"AL","OR","m","79","5.12152e-05"
"AL","OR","m","80","0"
"AL","OR","m","81","0"
"AL","OR","m","82","0"
"AL","OR","m","83","0"
"AL","OR","m","84","0"
"AL","OR","m","85","0"
"AL","OR","m","86","0"
"AL","OR","m","87","0"
"AL","OR","m","88","0"
"AL","OR","m","89","0"
"AL","OR","m","90","0"
"AL","OR","m","91","0"
"AL","OR","m","92","0"
"AL","OR","m","93","0"
"AL","OR","m","94","0"
"AL","OR","m","95","0"
"AL","OR","m","96","0"
"AL","OR","m","97","0"
"AL","OR","m","98","0"
"AL","OR","m","99","0"
"AL","OR","m","100","0"
"AL","OR","f","0","7.36097e-05"
"AL","OR","f","1","7.36097e-05"
"AL","OR","f","2","7.36097e-05"
"AL","OR","f","3","7.36097e-05"
"AL","OR","f","4","7.36097e-05"
"AL","OR","f","5","0.000101412"
"AL","OR","f","6","0.000101412"
"AL","OR","f","7","0.000101412"
"AL","OR","f","8","0.000101412"
"AL","OR","f","9","0.000101412"
"AL","OR","f","10","5.84739e-05"
"AL","OR","f","11","5.84739e-05"
"AL","OR","f","12","5.84739e-05"
"AL","OR","f","13","5.84739e-05"
"AL","OR","f","14","5.84739e-05"
"AL","OR","f","15","0.000190078"
"AL","OR","f","16","0.000190078"
"AL","OR","f","17","0.000190078"
"AL","OR","f","18","0.000190078"
"AL","OR","f","19","0.000190078"
"AL","OR","f","20","0.000408454"
"AL","OR","f","21","0.000408454"
"AL","OR","f","22","0.000408454"
"AL","OR","f","23","0.000408454"
"AL","OR","f","24","0.000408454"
"AL","OR","f","25","0.000461517"
"AL","OR","f","26","0.000461517"
"AL","OR","f","27","0.000461517"
"AL","OR","f","28","0.000461517"
"AL","OR","f","29","0.000461517"
"AL","OR","f","30","0.000402208"
"AL","OR","f","31","0.000402208"
"AL","OR","f","32","0.000402208"
"AL","OR","f","33","0.000402208"
"AL","OR","f","34","0.000402208"
"AL","OR","f","35","0.000131493"
"AL","OR","f","36","0.000131493"
"AL","OR","f","37","0.000131493"
"AL","OR","f","38","0.000131493"
"AL","OR","f","39","0.000131493"
"AL","OR","f","40","7.2295e-05"
"AL","OR","f","41","7.2295e-05"
"AL","OR","f","42","7.2295e-05"
"AL","OR","f","43","7.2295e-05"
"AL","OR","f","44","7.2295e-05"
"AL","OR","f","45","1.50809e-05"
"AL","OR","f","46","1.50809e-05"
"AL","OR","f","47","1.50809e-05"
"AL","OR","f","48","1.50809e-05"
"AL","OR","f","49","1.50809e-05"
"AL","OR","f","50","4.25884e-05"
"AL","OR","f","51","4.25884e-05"
"AL","OR","f","52","4.25884e-05"
"AL","OR","f","53","4.25884e-05"
"AL","OR","f","54","4.25884e-05"
"AL","OR","f","55","8.06249e-05"
"AL","OR","f","56","8.06249e-05"
"AL","OR","f","57","8.06249e-05"
"AL","OR","f","58","8.06249e-05"
"AL","OR","f","59","8.06249e-05"
"AL","OR","f","60","6.5544e-05"
"AL","OR","f","61","6.5544e-05"
"AL","OR","f","62","6.5544e-05"
"AL","OR","f","63","6.5544e-05"
"AL","OR","f","64","6.5544e-05"
"AL","OR","f","65","7.4339e-05"
"AL","OR","f","66","7.4339e-05"
"AL","OR","f","67","7.4339e-05"
"AL","OR","f","68","7.4339e-05"
"AL","OR","f","69","7.4339e-05"
"AL","OR","f","70","3.63025e-05"
"AL","OR","f","71","3.63025e-05"
"AL","OR","f","72","3.63025e-05"
"AL","OR","f","73","3.63025e-05"
"AL","OR","f","74","3.63025e-05"
"AL","OR","f","75","3.63025e-05"
"AL","OR","f","76","3.63025e-05"
"AL","OR","f","77","3.63025e-05"
"AL","OR","f","78","3.63025e-05"
"AL","OR","f","79","3.63025e-05"
"AL","OR","f","80","0"
"AL","OR","f","81","0"
"AL","OR","f","82","0"
"AL","OR","f","83","0"
"AL","OR","f","84","0"
"AL","OR","f","85","0"
"AL","OR","f","86","0"
"AL","OR","f","87","0"
"AL","OR","f","88","0"
"AL","OR","f","89","0"
"AL","OR","f","90","0"
"AL","OR","f","91","0"
"AL","OR","f","92","0"
"AL","OR","f","93","0"
"AL","OR","f","94","0"
"AL","OR","f","95","0"
"AL","OR","f","96","0"
"AL","OR","f","97","0"
"AL","OR","f","98","0"
"AL","OR","f","99","0"
"AL","OR","f","100","0"
"AK","OR","m","0","0.002634684"
"AK","OR","m","1","0.002634684"
"AK","OR","m","2","0.002634684"
"AK","OR","m","3","0.002634684"
"AK","OR","m","4","0.002634684"
"AK","OR","m","5","0.001927439"
"AK","OR","m","6","0.001927439"
"AK","OR","m","7","0.001927439"
"AK","OR","m","8","0.001927439"
"AK","OR","m","9","0.001927439"
"AK","OR","m","10","0.002403358"
"AK","OR","m","11","0.002403358"
"AK","OR","m","12","0.002403358"
"AK","OR","m","13","0.002403358"
"AK","OR","m","14","0.002403358"
"AK","OR","m","15","0.004264184"
"AK","OR","m","16","0.004264184"
"AK","OR","m","17","0.004264184"
"AK","OR","m","18","0.004264184"
"AK","OR","m","19","0.004264184"
"AK","OR","m","20","0.007377416"
"AK","OR","m","21","0.007377416"
"AK","OR","m","22","0.007377416"
"AK","OR","m","23","0.007377416"
"AK","OR","m","24","0.007377416"
"AK","OR","m","25","0.008578471"
"AK","OR","m","26","0.008578471"
"AK","OR","m","27","0.008578471"
"AK","OR","m","28","0.008578471"
"AK","OR","m","29","0.008578471"
"AK","OR","m","30","0.006435674"
"AK","OR","m","31","0.006435674"
"AK","OR","m","32","0.006435674"
"AK","OR","m","33","0.006435674"
"AK","OR","m","34","0.006435674"
"AK","OR","m","35","0.004041915"
"AK","OR","m","36","0.004041915"
"AK","OR","m","37","0.004041915"
"AK","OR","m","38","0.004041915"
"AK","OR","m","39","0.004041915"
"AK","OR","m","40","0.003068147"
"AK","OR","m","41","0.003068147"
"AK","OR","m","42","0.003068147"
"AK","OR","m","43","0.003068147"
"AK","OR","m","44","0.003068147"
"AK","OR","m","45","0.002762801"
"AK","OR","m","46","0.002762801"
"AK","OR","m","47","0.002762801"
"AK","OR","m","48","0.002762801"
"AK","OR","m","49","0.002762801"
"AK","OR","m","50","0.002508281"
"AK","OR","m","51","0.002508281"
"AK","OR","m","52","0.002508281"
"AK","OR","m","53","0.002508281"
"AK","OR","m","54","0.002508281"
"AK","OR","m","55","0.002118267"
"AK","OR","m","56","0.002118267"
"AK","OR","m","57","0.002118267"
"AK","OR","m","58","0.002118267"
"AK","OR","m","59","0.002118267"
"AK","OR","m","60","0.002565933"
"AK","OR","m","61","0.002565933"
"AK","OR","m","62","0.002565933"
"AK","OR","m","63","0.002565933"
"AK","OR","m","64","0.002565933"
"AK","OR","m","65","0.003839969"
"AK","OR","m","66","0.003839969"
"AK","OR","m","67","0.003839969"
"AK","OR","m","68","0.003839969"
"AK","OR","m","69","0.003839969"
"AK","OR","m","70","0.004296416"
"AK","OR","m","71","0.004296416"
"AK","OR","m","72","0.004296416"
"AK","OR","m","73","0.004296416"
"AK","OR","m","74","0.004296416"
"AK","OR","m","75","0.003049962"
"AK","OR","m","76","0.003049962"
"AK","OR","m","77","0.003049962"
"AK","OR","m","78","0.003049962"
"AK","OR","m","79","0.003049962"
"AK","OR","m","80","0.003961075"
"AK","OR","m","81","0.003961075"
"AK","OR","m","82","0.003961075"
"AK","OR","m","83","0.003961075"
"AK","OR","m","84","0.003961075"
"AK","OR","m","85","0.007374818"
"AK","OR","m","86","0.007374818"
"AK","OR","m","87","0.007374818"
"AK","OR","m","88","0.007374818"
"AK","OR","m","89","0.007374818"
"AK","OR","m","90","0.007374818"
"AK","OR","m","91","0.007374818"
"AK","OR","m","92","0.007374818"
"AK","OR","m","93","0.007374818"
"AK","OR","m","94","0.007374818"
"AK","OR","m","95","0.006830601"
"AK","OR","m","96","0.006830601"
"AK","OR","m","97","0.006830601"
"AK","OR","m","98","0.006830601"
"AK","OR","m","99","0.006830601"
"AK","OR","m","100","0.006830601"
"AK","OR","f","0","0.002551054"
"AK","OR","f","1","0.002551054"
"AK","OR","f","2","0.002551054"
"AK","OR","f","3","0.002551054"
"AK","OR","f","4","0.002551054"
"AK","OR","f","5","0.002574989"
"AK","OR","f","6","0.002574989"
"AK","OR","f","7","0.002574989"
"AK","OR","f","8","0.002574989"
"AK","OR","f","9","0.002574989"
"AK","OR","f","10","0.00257989"
"AK","OR","f","11","0.00257989"
"AK","OR","f","12","0.00257989"
"AK","OR","f","13","0.00257989"
"AK","OR","f","14","0.00257989"
"AK","OR","f","15","0.004741964"
"AK","OR","f","16","0.004741964"
"AK","OR","f","17","0.004741964"
"AK","OR","f","18","0.004741964"
"AK","OR","f","19","0.004741964"
"AK","OR","f","20","0.005740264"
"AK","OR","f","21","0.005740264"
"AK","OR","f","22","0.005740264"
"AK","OR","f","23","0.005740264"
"AK","OR","f","24","0.005740264"
"AK","OR","f","25","0.005874529"
"AK","OR","f","26","0.005874529"
"AK","OR","f","27","0.005874529"
"AK","OR","f","28","0.005874529"
"AK","OR","f","29","0.005874529"
"AK","OR","f","30","0.004393163"
"AK","OR","f","31","0.004393163"
"AK","OR","f","32","0.004393163"
"AK","OR","f","33","0.004393163"
"AK","OR","f","34","0.004393163"
"AK","OR","f","35","0.002792851"
"AK","OR","f","36","0.002792851"
"AK","OR","f","37","0.002792851"
"AK","OR","f","38","0.002792851"
"AK","OR","f","39","0.002792851"
"AK","OR","f","40","0.002006656"
"AK","OR","f","41","0.002006656"
"AK","OR","f","42","0.002006656"
"AK","OR","f","43","0.002006656"
"AK","OR","f","44","0.002006656"
"AK","OR","f","45","0.002559502"
"AK","OR","f","46","0.002559502"
"AK","OR","f","47","0.002559502"
"AK","OR","f","48","0.002559502"
"AK","OR","f","49","0.002559502"
"AK","OR","f","50","0.003035903"
"AK","OR","f","51","0.003035903"
"AK","OR","f","52","0.003035903"
"AK","OR","f","53","0.003035903"
"AK","OR","f","54","0.003035903"
"AK","OR","f","55","0.004148554"
"AK","OR","f","56","0.004148554"
"AK","OR","f","57","0.004148554"
"AK","OR","f","58","0.004148554"
"AK","OR","f","59","0.004148554"
"AK","OR","f","60","0.003810319"
"AK","OR","f","61","0.003810319"
"AK","OR","f","62","0.003810319"
"AK","OR","f","63","0.003810319"
"AK","OR","f","64","0.003810319"
"AK","OR","f","65","0.00357974"
"AK","OR","f","66","0.00357974"
"AK","OR","f","67","0.00357974"
"AK","OR","f","68","0.00357974"
"AK","OR","f","69","0.00357974"
"AK","OR","f","70","0.006941054"
"AK","OR","f","71","0.006941054"
"AK","OR","f","72","0.006941054"
"AK","OR","f","73","0.006941054"
"AK","OR","f","74","0.006941054"
"AK","OR","f","75","0.006578325"
"AK","OR","f","76","0.006578325"
"AK","OR","f","77","0.006578325"
"AK","OR","f","78","0.006578325"
"AK","OR","f","79","0.006578325"
"AK","OR","f","80","0.006060228"
"AK","OR","f","81","0.006060228"
"AK","OR","f","82","0.006060228"
"AK","OR","f","83","0.006060228"
"AK","OR","f","84","0.006060228"
"AK","OR","f","85","0.000769823"
"AK","OR","f","86","0.000769823"
"AK","OR","f","87","0.000769823"
"AK","OR","f","88","0.000769823"
"AK","OR","f","89","0.000769823"
"AK","OR","f","90","0"
"AK","OR","f","91","0"
"AK","OR","f","92","0"
"AK","OR","f","93","0"
"AK","OR","f","94","0"
"AK","OR","f","95","0"
"AK","OR","f","96","0"
"AK","OR","f","97","0"
"AK","OR","f","98","0"
"AK","OR","f","99","0"
"AK","OR","f","100","0"
"AZ","OR","m","0","0.001136443"
"AZ","OR","m","1","0.001136443"
"AZ","OR","m","2","0.001136443"
"AZ","OR","m","3","0.001136443"
"AZ","OR","m","4","0.001136443"
"AZ","OR","m","5","0.001171969"
"AZ","OR","m","6","0.001171969"
"AZ","OR","m","7","0.001171969"
"AZ","OR","m","8","0.001171969"
"AZ","OR","m","9","0.001171969"
"AZ","OR","m","10","0.001060154"
"AZ","OR","m","11","0.001060154"
"AZ","OR","m","12","0.001060154"
"AZ","OR","m","13","0.001060154"
"AZ","OR","m","14","0.001060154"
"AZ","OR","m","15","0.001328716"
"AZ","OR","m","16","0.001328716"
"AZ","OR","m","17","0.001328716"
"AZ","OR","m","18","0.001328716"
"AZ","OR","m","19","0.001328716"
"AZ","OR","m","20","0.001652936"
"AZ","OR","m","21","0.001652936"
"AZ","OR","m","22","0.001652936"
"AZ","OR","m","23","0.001652936"
"AZ","OR","m","24","0.001652936"
"AZ","OR","m","25","0.002063946"
"AZ","OR","m","26","0.002063946"
"AZ","OR","m","27","0.002063946"
"AZ","OR","m","28","0.002063946"
"AZ","OR","m","29","0.002063946"
"AZ","OR","m","30","0.001744315"
"AZ","OR","m","31","0.001744315"
"AZ","OR","m","32","0.001744315"
"AZ","OR","m","33","0.001744315"
"AZ","OR","m","34","0.001744315"
"AZ","OR","m","35","0.001470587"
"AZ","OR","m","36","0.001470587"
"AZ","OR","m","37","0.001470587"
"AZ","OR","m","38","0.001470587"
"AZ","OR","m","39","0.001470587"
"AZ","OR","m","40","0.001047967"
"AZ","OR","m","41","0.001047967"
"AZ","OR","m","42","0.001047967"
"AZ","OR","m","43","0.001047967"
"AZ","OR","m","44","0.001047967"
"AZ","OR","m","45","0.000986434"
"AZ","OR","m","46","0.000986434"
"AZ","OR","m","47","0.000986434"
"AZ","OR","m","48","0.000986434"
"AZ","OR","m","49","0.000986434"
"AZ","OR","m","50","0.000875223"
"AZ","OR","m","51","0.000875223"
"AZ","OR","m","52","0.000875223"
"AZ","OR","m","53","0.000875223"
"AZ","OR","m","54","0.000875223"
"AZ","OR","m","55","0.000906678"
"AZ","OR","m","56","0.000906678"
"AZ","OR","m","57","0.000906678"
"AZ","OR","m","58","0.000906678"
"AZ","OR","m","59","0.000906678"
"AZ","OR","m","60","0.000888331"
"AZ","OR","m","61","0.000888331"
"AZ","OR","m","62","0.000888331"
"AZ","OR","m","63","0.000888331"
"AZ","OR","m","64","0.000888331"
"AZ","OR","m","65","0.000596726"
"AZ","OR","m","66","0.000596726"
"AZ","OR","m","67","0.000596726"
"AZ","OR","m","68","0.000596726"
"AZ","OR","m","69","0.000596726"
"AZ","OR","m","70","0.000583714"
"AZ","OR","m","71","0.000583714"
"AZ","OR","m","72","0.000583714"
"AZ","OR","m","73","0.000583714"
"AZ","OR","m","74","0.000583714"
"AZ","OR","m","75","0.000573238"
"AZ","OR","m","76","0.000573238"
"AZ","OR","m","77","0.000573238"
"AZ","OR","m","78","0.000573238"
"AZ","OR","m","79","0.000573238"
"AZ","OR","m","80","0.000796352"
"AZ","OR","m","81","0.000796352"
"AZ","OR","m","82","0.000796352"
"AZ","OR","m","83","0.000796352"
"AZ","OR","m","84","0.000796352"
"AZ","OR","m","85","0.000853597"
"AZ","OR","m","86","0.000853597"
"AZ","OR","m","87","0.000853597"
"AZ","OR","m","88","0.000853597"
"AZ","OR","m","89","0.000853597"
"AZ","OR","m","90","0.000611592"
"AZ","OR","m","91","0.000611592"
"AZ","OR","m","92","0.000611592"
"AZ","OR","m","93","0.000611592"
"AZ","OR","m","94","0.000611592"
"AZ","OR","m","95","0.000489695"
"AZ","OR","m","96","0.000489695"
"AZ","OR","m","97","0.000489695"
"AZ","OR","m","98","0.000489695"
"AZ","OR","m","99","0.000489695"
"AZ","OR","m","100","0.000489695"
"AZ","OR","f","0","0.000709528"
"AZ","OR","f","1","0.000709528"
"AZ","OR","f","2","0.000709528"
"AZ","OR","f","3","0.000709528"
"AZ","OR","f","4","0.000709528"
"AZ","OR","f","5","0.000699762"
"AZ","OR","f","6","0.000699762"
"AZ","OR","f","7","0.000699762"
"AZ","OR","f","8","0.000699762"
"AZ","OR","f","9","0.000699762"
"AZ","OR","f","10","0.00078897"
"AZ","OR","f","11","0.00078897"
"AZ","OR","f","12","0.00078897"
"AZ","OR","f","13","0.00078897"
"AZ","OR","f","14","0.00078897"
"AZ","OR","f","15","0.001204552"
"AZ","OR","f","16","0.001204552"
"AZ","OR","f","17","0.001204552"
"AZ","OR","f","18","0.001204552"
"AZ","OR","f","19","0.001204552"
"AZ","OR","f","20","0.001622426"
"AZ","OR","f","21","0.001622426"
"AZ","OR","f","22","0.001622426"
"AZ","OR","f","23","0.001622426"
"AZ","OR","f","24","0.001622426"
"AZ","OR","f","25","0.001855382"
"AZ","OR","f","26","0.001855382"
"AZ","OR","f","27","0.001855382"
"AZ","OR","f","28","0.001855382"
"AZ","OR","f","29","0.001855382"
"AZ","OR","f","30","0.0016853"
"AZ","OR","f","31","0.0016853"
"AZ","OR","f","32","0.0016853"
"AZ","OR","f","33","0.0016853"
"AZ","OR","f","34","0.0016853"
"AZ","OR","f","35","0.001328907"
"AZ","OR","f","36","0.001328907"
"AZ","OR","f","37","0.001328907"
"AZ","OR","f","38","0.001328907"
"AZ","OR","f","39","0.001328907"
"AZ","OR","f","40","0.001069101"
"AZ","OR","f","41","0.001069101"
"AZ","OR","f","42","0.001069101"
"AZ","OR","f","43","0.001069101"
"AZ","OR","f","44","0.001069101"
"AZ","OR","f","45","0.000772944"
"AZ","OR","f","46","0.000772944"
"AZ","OR","f","47","0.000772944"
"AZ","OR","f","48","0.000772944"
"AZ","OR","f","49","0.000772944"
"AZ","OR","f","50","0.000732857"
"AZ","OR","f","51","0.000732857"
"AZ","OR","f","52","0.000732857"
"AZ","OR","f","53","0.000732857"
"AZ","OR","f","54","0.000732857"
"AZ","OR","f","55","0.000624298"
"AZ","OR","f","56","0.000624298"
"AZ","OR","f","57","0.000624298"
"AZ","OR","f","58","0.000624298"
"AZ","OR","f","59","0.000624298"
"AZ","OR","f","60","0.000558032"
"AZ","OR","f","61","0.000558032"
"AZ","OR","f","62","0.000558032"
"AZ","OR","f","63","0.000558032"
"AZ","OR","f","64","0.000558032"
"AZ","OR","f","65","0.000645863"
"AZ","OR","f","66","0.000645863"
"AZ","OR","f","67","0.000645863"
"AZ","OR","f","68","0.000645863"
"AZ","OR","f","69","0.000645863"
"AZ","OR","f","70","0.000765058"
"AZ","OR","f","71","0.000765058"
"AZ","OR","f","72","0.000765058"
"AZ","OR","f","73","0.000765058"
"AZ","OR","f","74","0.000765058"
"AZ","OR","f","75","0.000833356"
"AZ","OR","f","76","0.000833356"
"AZ","OR","f","77","0.000833356"
"AZ","OR","f","78","0.000833356"
"AZ","OR","f","79","0.000833356"
"AZ","OR","f","80","0.001079219"
"AZ","OR","f","81","0.001079219"
"AZ","OR","f","82","0.001079219"
"AZ","OR","f","83","0.001079219"
"AZ","OR","f","84","0.001079219"
"AZ","OR","f","85","0.000916442"
"AZ","OR","f","86","0.000916442"
"AZ","OR","f","87","0.000916442"
"AZ","OR","f","88","0.000916442"
"AZ","OR","f","89","0.000916442"
"AZ","OR","f","90","0.000720752"
"AZ","OR","f","91","0.000720752"
"AZ","OR","f","92","0.000720752"
"AZ","OR","f","93","0.000720752"
"AZ","OR","f","94","0.000720752"
"AZ","OR","f","95","0.000208381"
"AZ","OR","f","96","0.000208381"
"AZ","OR","f","97","0.000208381"
"AZ","OR","f","98","0.000208381"
"AZ","OR","f","99","0.000208381"
"AZ","OR","f","100","0.000208381"
"AR","OR","m","0","0.000288879"
"AR","OR","m","1","0.000288879"
"AR","OR","m","2","0.000288879"
"AR","OR","m","3","0.000288879"
"AR","OR","m","4","0.000288879"
"AR","OR","m","5","0.000234072"
"AR","OR","m","6","0.000234072"
"AR","OR","m","7","0.000234072"
"AR","OR","m","8","0.000234072"
"AR","OR","m","9","0.000234072"
"AR","OR","m","10","0.000167081"
"AR","OR","m","11","0.000167081"
"AR","OR","m","12","0.000167081"
"AR","OR","m","13","0.000167081"
"AR","OR","m","14","0.000167081"
"AR","OR","m","15","0.000155216"
"AR","OR","m","16","0.000155216"
"AR","OR","m","17","0.000155216"
"AR","OR","m","18","0.000155216"
"AR","OR","m","19","0.000155216"
"AR","OR","m","20","0.000157407"
"AR","OR","m","21","0.000157407"
"AR","OR","m","22","0.000157407"
"AR","OR","m","23","0.000157407"
"AR","OR","m","24","0.000157407"
"AR","OR","m","25","0.00026506"
"AR","OR","m","26","0.00026506"
"AR","OR","m","27","0.00026506"
"AR","OR","m","28","0.00026506"
"AR","OR","m","29","0.00026506"
"AR","OR","m","30","0.000252471"
"AR","OR","m","31","0.000252471"
"AR","OR","m","32","0.000252471"
"AR","OR","m","33","0.000252471"
"AR","OR","m","34","0.000252471"
"AR","OR","m","35","0.000208794"
"AR","OR","m","36","0.000208794"
"AR","OR","m","37","0.000208794"
"AR","OR","m","38","0.000208794"
"AR","OR","m","39","0.000208794"
"AR","OR","m","40","0.000126118"
"AR","OR","m","41","0.000126118"
"AR","OR","m","42","0.000126118"
"AR","OR","m","43","0.000126118"
"AR","OR","m","44","0.000126118"
"AR","OR","m","45","0.000127939"
"AR","OR","m","46","0.000127939"
"AR","OR","m","47","0.000127939"
"AR","OR","m","48","0.000127939"
"AR","OR","m","49","0.000127939"
"AR","OR","m","50","0.000163175"
"AR","OR","m","51","0.000163175"
"AR","OR","m","52","0.000163175"
"AR","OR","m","53","0.000163175"
"AR","OR","m","54","0.000163175"
"AR","OR","m","55","9.81487e-05"
"AR","OR","m","56","9.81487e-05"
"AR","OR","m","57","9.81487e-05"
"AR","OR","m","58","9.81487e-05"
"AR","OR","m","59","9.81487e-05"
"AR","OR","m","60","3.52367e-05"
"AR","OR","m","61","3.52367e-05"
"AR","OR","m","62","3.52367e-05"
"AR","OR","m","63","3.52367e-05"
"AR","OR","m","64","3.52367e-05"
"AR","OR","m","65","4.44924e-05"
"AR","OR","m","66","4.44924e-05"
"AR","OR","m","67","4.44924e-05"
"AR","OR","m","68","4.44924e-05"
"AR","OR","m","69","4.44924e-05"
"AR","OR","m","70","0.000129681"
"AR","OR","m","71","0.000129681"
"AR","OR","m","72","0.000129681"
"AR","OR","m","73","0.000129681"
"AR","OR","m","74","0.000129681"
"AR","OR","m","75","0.000460931"
"AR","OR","m","76","0.000460931"
"AR","OR","m","77","0.000460931"
"AR","OR","m","78","0.000460931"
"AR","OR","m","79","0.000460931"
"AR","OR","m","80","0.000571655"
"AR","OR","m","81","0.000571655"
"AR","OR","m","82","0.000571655"
"AR","OR","m","83","0.000571655"
"AR","OR","m","84","0.000571655"
"AR","OR","m","85","0.000486466"
"AR","OR","m","86","0.000486466"
"AR","OR","m","87","0.000486466"
"AR","OR","m","88","0.000486466"
"AR","OR","m","89","0.000486466"
"AR","OR","m","90","0.000155216"
"AR","OR","m","91","0.000155216"
"AR","OR","m","92","0.000155216"
"AR","OR","m","93","0.000155216"
"AR","OR","m","94","0.000155216"
"AR","OR","m","95","0"
"AR","OR","m","96","0"
"AR","OR","m","97","0"
"AR","OR","m","98","0"
"AR","OR","m","99","0"
"AR","OR","m","100","0"
"AR","OR","f","0","0.000317001"
"AR","OR","f","1","0.000317001"
"AR","OR","f","2","0.000317001"
"AR","OR","f","3","0.000317001"
"AR","OR","f","4","0.000317001"
"AR","OR","f","5","0.000262533"
"AR","OR","f","6","0.000262533"
"AR","OR","f","7","0.000262533"
"AR","OR","f","8","0.000262533"
"AR","OR","f","9","0.000262533"
"AR","OR","f","10","9.39475e-05"
"AR","OR","f","11","9.39475e-05"
"AR","OR","f","12","9.39475e-05"
"AR","OR","f","13","9.39475e-05"
"AR","OR","f","14","9.39475e-05"
"AR","OR","f","15","5.7886e-05"
"AR","OR","f","16","5.7886e-05"
"AR","OR","f","17","5.7886e-05"
"AR","OR","f","18","5.7886e-05"
"AR","OR","f","19","5.7886e-05"
"AR","OR","f","20","0.000211605"
"AR","OR","f","21","0.000211605"
"AR","OR","f","22","0.000211605"
"AR","OR","f","23","0.000211605"
"AR","OR","f","24","0.000211605"
"AR","OR","f","25","0.000399929"
"AR","OR","f","26","0.000399929"
"AR","OR","f","27","0.000399929"
"AR","OR","f","28","0.000399929"
"AR","OR","f","29","0.000399929"
"AR","OR","f","30","0.000482763"
"AR","OR","f","31","0.000482763"
"AR","OR","f","32","0.000482763"
"AR","OR","f","33","0.000482763"
"AR","OR","f","34","0.000482763"
"AR","OR","f","35","0.000284866"
"AR","OR","f","36","0.000284866"
"AR","OR","f","37","0.000284866"
"AR","OR","f","38","0.000284866"
"AR","OR","f","39","0.000284866"
"AR","OR","f","40","0.000108197"
"AR","OR","f","41","0.000108197"
"AR","OR","f","42","0.000108197"
"AR","OR","f","43","0.000108197"
"AR","OR","f","44","0.000108197"
"AR","OR","f","45","0.000104109"
"AR","OR","f","46","0.000104109"
"AR","OR","f","47","0.000104109"
"AR","OR","f","48","0.000104109"
"AR","OR","f","49","0.000104109"
"AR","OR","f","50","0.000172302"
"AR","OR","f","51","0.000172302"
"AR","OR","f","52","0.000172302"
"AR","OR","f","53","0.000172302"
"AR","OR","f","54","0.000172302"
"AR","OR","f","55","0.000160647"
"AR","OR","f","56","0.000160647"
"AR","OR","f","57","0.000160647"
"AR","OR","f","58","0.000160647"
"AR","OR","f","59","0.000160647"
