year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2015,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2020,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2025,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2030,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2035,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2040,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2045,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2050,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2055,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2060,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2065,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2070,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2075,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2080,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2085,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2090,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2095,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
2100,1.94,1.94,1.94,73.2,78.2,73.2,78.2,73.2,78.2,0.584,105,105,105,5351.486884,4981.738898
